file,question_id,stage,skill,issue_types,issue_count,requires_manual_content,recommended_phase
ALL_merged_deduped.jsonl,ks4_averages_mean_median_1f30af7aeb,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2024bfae76,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_211310a03c,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21853b9c4e,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21bfb196f6,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_21db8113f8,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_22a615dade,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_22ea129216,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2391408693,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_23fff44b93,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_24ae64c980,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_25a69f7234,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_25ae762823,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_26844db256,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2780c21812,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_27ebaadc57,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2838fd06e9,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2978f81ea6,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_299ae629b3,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_29eec7f7b0,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2aceaaf8cf,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2b40656072,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2dcfcdc440,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2e0cbd90f1,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_2fd40f5464,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3120061699,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_32a9607272,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_34fefa25fe,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_35086fb6bd,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_35247c874f,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3777e1690d,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3896813f55,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_38c145eb19,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_39d053908a,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
ALL_merged_deduped.jsonl,ks4_averages_mean_median_3b3a08c434,KS4,Averages,PLACEHOLDER_QUESTION,1,yes,3_manual_placeholder_replacement
